Year,Ticker,CEO,Age,dominant_gender,dominant_race,dominant_emotion,Woman,Man,asian,indian,black,white,middle eastern,latino hispanic,angry,disgust,fear,happy,sad,surprise,neutral,Year_Cum_Ret_Overall,Tenure_Cum_Ret_Overall,Image Path
2015,LRCX,Martin Anstice,33.0,Man,white,neutral,0.0760584371164441,99.9239444732666,0.0597271709401317,0.1492949353201571,0.0082617363880885,85.93404041541345,9.36973262484061,4.478946384003112,0.0300653249723836,2.524950214188859e-09,0.0013349799701245,3.1764518469572067,0.0229656478040851,0.0003469359853625,96.76883816719057,1.0074733995379417,3.80482588210878,
2016,LRCX,Martin Anstice,44.0,Man,white,happy,0.0333933014189824,99.96660947799684,0.0005090786544315,0.0005978093213343,2.1878740597003343e-05,99.12567138671876,0.4427875857800245,0.4304157570004463,5.317337468113692e-05,1.4515030546368568e-14,1.1372885966309811e-08,99.99995231628418,2.5711058282418264e-08,3.184205007075703e-13,2.9460826139748875e-09,1.3312767409295068,3.80482588210878,
2017,LRCX,Martin Anstice,36.0,Man,white,happy,0.0071007620135787,99.99289512634276,19.62345987558365,2.6928482577204704,0.5489901173859835,52.70053744316101,12.92133331298828,11.51283085346222,2.9743671414728112e-08,1.5715597339214164e-20,1.8637376052719517e-12,100.0,3.737194442798853e-08,1.2716331102019562e-15,6.569506744158461e-09,1.762068575165421,3.80482588210878,
2018,LRCX,Martin Anstice,,,,,,,,,,,,,,,,,,,,0.7456482665361118,3.80482588210878,
2010,APH,Martin H. Loeffler,39.0,Man,white,happy,0.1511468086391687,99.84885454177856,1.3913327955028532e-11,3.10505168397892e-12,5.364995845706656e-16,99.99998807907104,1.3546113564189e-05,4.940200781788917e-06,0.0001170193810766,5.097195552706417e-12,0.0008097239997969,99.9642670133273,4.294957978805193e-07,0.0223957684899952,0.0124178979729725,1.150400787512304,0.9905559518343358,
2011,APH,Martin H. Loeffler,39.0,Man,white,happy,0.1511468086391687,99.84885454177856,1.3913327955028532e-11,3.10505168397892e-12,5.364995845706656e-16,99.99998807907104,1.3546113564189e-05,4.940200781788917e-06,0.0001170193810766,5.097195552706417e-12,0.0008097239997969,99.9642670133273,4.294957978805193e-07,0.0223957684899952,0.0124178979729725,0.8610529152856146,0.9905559518343358,
2016,MRVL,Matthew J. Murphy,29.0,Man,white,happy,0.0535148137714713,99.94648098945618,1.5218157321214676,2.8588276356458664,0.3812235314399004,51.17748975753784,16.37856662273407,27.682074904441837,0.002890590794266,6.699609322516383e-09,4.3215257950037216e-06,80.79925661082605,0.0056648583006355,0.0396271027029813,19.15256048158172,1.605352024702014,3.170225149197134,
2017,MRVL,Matthew J. Murphy,37.0,Man,white,neutral,0.1322537311352789,99.86774325370789,1.2027456210700047,3.53213271690206,0.5227245236322,51.64092490916997,18.54701003712476,24.55446419444467,0.1248666201718151,0.0006388912424881,0.2766934921965003,1.2565390206873417,6.151295825839043,0.0012683472050412,92.18869805336,1.568864824177032,3.170225149197134,
2018,MRVL,Matthew J. Murphy,39.0,Man,white,neutral,0.0752353516872972,99.9247670173645,1.8456034362316127,5.175221711397171,0.7347416132688522,46.55389487743378,15.768824517726898,29.92171347141266,0.0318958122900985,0.0004923976869302,0.2186252400204682,12.08864448002842,3.472455052879754,0.0042909682462894,84.18359662196616,0.7637711847623031,3.170225149197134,
2019,MRVL,Matthew J. Murphy,37.0,Man,white,neutral,0.1322537311352789,99.86774325370789,1.2027456210700047,3.53213271690206,0.5227245236322,51.64092490916997,18.54701003712476,24.55446419444467,0.1248666201718151,0.0006388912424881,0.2766934921965003,1.2565390206873417,6.151295825839043,0.0012683472050412,92.18869805336,1.6480524590516026,3.170225149197134,
2012,HPQ,Meg Whitman,42.0,Woman,white,happy,67.60764718055725,32.39235281944275,8.746928514824504e-07,1.497456714183443e-07,6.63134434517043e-10,99.9914526939392,0.0024080245566437,0.0061385951994452,0.514611741527915,0.0009160320587398,28.36970686912537,45.82109451293945,25.283992290496823,0.0001716930455586,0.009504106856184,0.5689081649793352,1.670437726141023,
2013,HPQ,Meg Whitman,30.0,Woman,white,happy,95.86815237998962,4.131845384836197,0.8739081732277973,0.0110730237117256,0.002017193703249,97.43620738006874,0.3382433640282371,1.3385473617045498,3.833015114196314e-05,8.503466989626368e-15,1.2592266784849926e-06,99.76364374160768,2.317565872544946e-06,0.0001670027018008,0.2361508784815669,2.011009438270245,1.670437726141023,
2014,HPQ,Meg Whitman,39.0,Woman,white,fear,98.2285737991333,1.7714306712150574,0.0339954905431505,0.0095439997940492,0.0012211274587974,96.42331046780222,0.9485681341805298,2.5833553348952134,5.444516614079475,0.0057365243264939,54.89775538444519,0.6639274768531322,35.053157806396484,0.5033333320170641,3.4315694123506546,1.460071131223996,1.670437726141023,
2010,TER,Michael A. Bradley,,,,,,,,,,,,,,,,,,,,1.2810219081264105,1.5410580212303011,
2011,TER,Michael A. Bradley,45.0,Man,white,happy,0.0164726137882098,99.98352527618408,6.657214957280762e-09,1.1083160150698592e-08,2.4168779870898683e-11,99.9970197681165,0.0022104787697281,0.0007676836497723,0.0001241368522642,1.229037051647747e-16,5.167021671637073e-09,99.99985694885254,1.5177165080260124e-08,1.5325966136372354e-11,2.072921319040688e-05,0.9707981039575316,1.5410580212303011,
2012,TER,Michael A. Bradley,45.0,Man,white,happy,0.0164726137882098,99.98352527618408,6.657214957280762e-09,1.1083160150698592e-08,2.4168779870898683e-11,99.9970197681165,0.0022104787697281,0.0007676836497723,0.0001241368522642,1.229037051647747e-16,5.167021671637073e-09,99.99985694885254,1.5177165080260124e-08,1.5325966136372354e-11,2.072921319040688e-05,1.239177484257747,1.5410580212303011,
2010,MPWR,Michael Hsing,40.0,Man,middle eastern,happy,0.1771625597029924,99.8228371143341,1.0883403941988945,5.914883688092232,0.1426544389687478,36.00728511810303,45.31221091747284,11.53462380170822,0.0101540885225404,3.095360190386032e-07,0.5765956360846758,82.27653503417969,0.2393851522356271,0.00387762702303,16.893455386161804,0.6883333068703542,8.30184854363766,
2011,MPWR,Michael Hsing,,,,,,,,,,,,,,,,,,,,0.9122274363634018,8.30184854363766,
2012,MPWR,Michael Hsing,40.0,Man,middle eastern,happy,0.1771625597029924,99.8228371143341,1.0883403941988945,5.914883688092232,0.1426544389687478,36.00728511810303,45.31221091747284,11.53462380170822,0.0101540885225404,3.095360190386032e-07,0.5765956360846758,82.27653503417969,0.2393851522356271,0.00387762702303,16.893455386161804,1.5480075959352884,8.30184854363766,
2013,MPWR,Michael Hsing,,,,,,,,,,,,,,,,,,,,1.5556555167750776,8.30184854363766,
2014,MPWR,Michael Hsing,40.0,Man,middle eastern,happy,0.1771625597029924,99.8228371143341,1.0883403941988945,5.914883688092232,0.1426544389687478,36.00728511810303,45.31221091747284,11.53462380170822,0.0101540885225404,3.095360190386032e-07,0.5765956360846758,82.27653503417969,0.2393851522356271,0.00387762702303,16.893455386161804,1.4494427547989852,8.30184854363766,
2015,MPWR,Michael Hsing,40.0,Man,middle eastern,happy,0.1771625597029924,99.8228371143341,1.0883403941988945,5.914883688092232,0.1426544389687478,36.00728511810303,45.31221091747284,11.53462380170822,0.0101540885225404,3.095360190386032e-07,0.5765956360846758,82.27653503417969,0.2393851522356271,0.00387762702303,16.893455386161804,1.2998407418501718,8.30184854363766,
2016,MPWR,Michael Hsing,40.0,Man,middle eastern,happy,0.1771625597029924,99.8228371143341,1.0883403941988945,5.914883688092232,0.1426544389687478,36.00728511810303,45.31221091747284,11.53462380170822,0.0101540885225404,3.095360190386032e-07,0.5765956360846758,82.27653503417969,0.2393851522356271,0.00387762702303,16.893455386161804,1.300678273806998,8.30184854363766,
