Year,Ticker,CEO,Age,dominant_gender,dominant_race,dominant_emotion,Woman,Man,asian,indian,black,white,middle eastern,latino hispanic,angry,disgust,fear,happy,sad,surprise,neutral,Year_Cum_Ret_Overall,Tenure_Cum_Ret_Overall
2010,MSFT,Steve Ballmer,25.0,Man,white,neutral,20.39988934993744,79.60010766983032,21.75813466310501,6.13606870174408,14.576739072799683,26.84277892112732,18.087224662303925,12.599049508571625,0.0009235488505510148,2.207322730629277e-11,0.35280664451420307,16.13885760307312,0.06117118173278868,0.006606613169424236,83.43963623046875,0.9205591750597968,1.3419154011251972
2011,MSFT,Steve Ballmer,,,,,,,,,,,,,,,,,,,,0.95484291636792,1.3419154011251972
2012,MSFT,Steve Ballmer,47.0,Man,white,angry,0.0028496844606706873,99.99715089797974,0.026079185772687197,0.08791108848527074,0.004544290641206317,87.42251396179199,9.074556827545166,3.3843912184238434,75.30171275138855,15.339156985282898,6.36744424700737,0.026727444492280483,2.046690136194229,0.9092072956264019,0.009057721763383597,1.0579886414174502,1.3419154011251972
2013,MSFT,Steve Ballmer,34.0,Man,white,happy,0.005353822780307382,99.99464750289917,1.0041580255197008e-05,0.0003981999053361769,4.0943220145497774e-07,99.29702277761834,0.5669056310150403,0.13566048227462066,4.574247271650449e-12,9.18762366799743e-33,1.7308856713367515e-11,99.9998688697815,4.3381704478706595e-11,4.963608517261076e-10,0.00013564047094405396,1.442980594663285,1.3419154011251972
2010,AAPL,Steve Jobs,44.0,Man,white,happy,0.0024966375349322334,99.99750852584839,0.012729102340212604,0.051990433900978204,0.0005553277664093552,90.99613970495103,6.178904693061393,2.759686090629464,0.0002407319866022381,2.8672025222236923e-08,2.026150880900197e-05,99.91829992314578,4.960298247027629e-06,0.0011608373350525006,0.08026409403066706,1.507219158273147,1.507219158273147
2014,QCOM,Steve Mollenkopf,,,,,,,,,,,,,,,,,,,,1.0225668372535293,1.4560165133764806
2015,QCOM,Steve Mollenkopf,,,,,,,,,,,,,,,,,,,,0.6936723031545369,1.4560165133764806
2016,QCOM,Steve Mollenkopf,42.0,Man,white,happy,0.1167334383353591,99.8832643032074,2.136566834565201e-06,1.2552413553024167e-07,1.4054690571085882e-10,99.99727010726929,0.001156670623458922,0.001576556132931728,3.791141131770182e-15,3.281053494080712e-26,1.0484495238955537e-15,99.99997615814209,1.2194208181192864e-12,2.2454422032820243e-13,2.7150434789291467e-05,1.3509066964176029,1.4560165133764806
2017,QCOM,Steve Mollenkopf,,,,,,,,,,,,,,,,,,,,1.0204642826298898,1.4560165133764806
2018,QCOM,Steve Mollenkopf,41.0,Man,white,happy,0.11038880329579115,99.88961219787598,3.7398029126602283e-07,1.7411870206532526e-08,6.958739284195043e-12,99.99838471403031,0.0009446825623951703,0.0006759581940965256,1.0130435444503927e-11,2.687422417018263e-20,2.5562785192106453e-13,99.99996423721313,1.5349363490305135e-10,1.239276557893007e-11,3.970900763761165e-05,0.9241120100351008,1.4560165133764806
2019,QCOM,Steve Mollenkopf,40.0,Man,white,angry,3.966529294848442,96.03346586227417,0.6854439619928598,0.2507435157895088,0.03366341406945139,81.13312721252441,5.950003489851952,11.947015672922134,96.6672722497854,0.008820670012807695,2.1980165677646912,0.21730314212403987,0.621715579573443,0.011996911805491232,0.274873399004531,1.6112853726777263,1.4560165133764806
2010,MCHP,Steve Sanghi,48.0,Man,latino hispanic,happy,0.14448602451011539,99.85551238059998,4.850783115672058,5.3847807875144955,6.990489035277905,29.468061296228246,16.64637724437578,36.659511128634875,8.067564574441189e-05,1.1125844906066384e-07,0.0002469406875816365,84.3147437947683,0.0036203877921538777,0.006995818800492964,15.674315771378966,1.2407073588976931,4.882446806598845
2011,MCHP,Steve Sanghi,27.0,Man,white,happy,0.27148923836648464,99.72851276397705,6.452610343694687,6.356021761894226,1.9709652289748192,36.814191937446594,23.856987059116364,24.549221992492676,2.2883004085344494e-10,9.529983380140377e-18,2.1671518746213536e-10,99.99899864196777,2.0343728437954844e-09,0.00013321027836354915,0.0008718877325009089,1.1021977361213404,4.882446806598845
2012,MCHP,Steve Sanghi,26.0,Man,indian,happy,0.0038929920265218243,99.99610185623169,4.426341876387596,30.800890922546387,3.537915274500847,14.269870519638062,17.25505292415619,29.709920287132263,0.000490696629640297,5.947910913794985e-09,0.00010021822163253091,89.99771475791931,0.00252036661549937,0.0065706852183211595,9.992607682943344,0.9284165740380838,4.882446806598845
2013,MCHP,Steve Sanghi,42.0,Man,latino hispanic,happy,1.5940090641379356,98.40599298477173,9.272218135330899,15.13297079408517,13.63938139207585,12.553794675613084,10.29860031025406,39.10302947723514,0.06369310228746249,0.00027507180041275707,0.01777681424302618,83.74085925464983,0.10363830405553008,0.4929246209069861,15.580826436330463,1.4237422872967944,4.882446806598845
2014,MCHP,Steve Sanghi,44.0,Man,latino hispanic,happy,1.3489390723407269,98.6510694026947,10.088954865932465,18.27094703912735,14.883829653263092,11.780164390802383,10.888474434614182,34.08762812614441,0.00376540615140553,2.5088357776726857e-06,0.0014046578071935565,98.41586937998947,0.007516157795706856,0.09524984038061442,1.4761915378982746,1.0400690960262573,4.882446806598845
2015,MCHP,Steve Sanghi,47.0,Man,middle eastern,sad,0.09742837282828987,99.90257024765015,18.73466670513153,11.224184930324554,5.562365800142288,20.103836059570312,23.25890213251114,21.116046607494354,31.668185095082826,3.859833256179246e-10,0.2609644473546414,1.0086008185848307e-06,59.538856717279955,1.7952247426182782e-07,8.53199264597849,1.0633696815178164,4.882446806598845
2016,MCHP,Steve Sanghi,29.0,Man,latino hispanic,neutral,0.23773466236889362,99.76226687431335,12.097585922335739,30.17522574515496,5.866488418965841,10.031182171772848,11.27184845637372,30.557670030454997,0.0003901961463270709,7.675861682376883e-10,8.312740078508796e-05,42.64995455741882,0.0031507825042353943,0.0006742518507962814,57.34574794769287,1.4166250412528905,4.882446806598845
2017,MCHP,Steve Sanghi,45.0,Man,white,neutral,0.15412464272230864,99.8458743095398,4.736854508519173,6.439320743083954,1.787332072854042,37.349969148635864,24.451781809329987,25.2347469329834,4.2930975041599595e-05,8.171607487894583e-10,0.20505038555711508,9.333572536706924,0.0025146933694486506,2.78594046831131,87.67288327217102,1.3946580644559394,4.882446806598845
2018,MCHP,Steve Sanghi,42.0,Man,middle eastern,happy,0.4324117209762335,99.56758618354797,9.015998781680988,13.367541931125041,6.515334934910234,22.875045113268204,24.995778500782162,23.230299248117163,0.011300387268420309,1.9441267795627937e-05,0.0018587486920296215,94.64871883392334,0.017054079216904938,0.02658886951394379,5.2944615483284,0.8329320787655845,4.882446806598845
2019,MCHP,Steve Sanghi,48.0,Man,middle eastern,happy,1.501100417226553,98.49890470504761,6.25336803515959,10.863769701943976,4.5260212287915484,25.910206193340194,30.78700487536221,21.65963331816395,0.004739697033073753,0.00011563264479264035,0.012445839820429683,72.5365698337555,0.11270476970821619,0.09265953558497131,27.240756154060364,1.4840743779144263,4.882446806598845
